CITY,PRICE,STATE,COUNTY,ZIPCODE,BEDROOMS,LATITUDE,BATHROOMS,LONGITUDE,STATEFIPS,COUNTYFIPS,LISTEDDATE,CREATEDDATE,LISTINGTYPE,ADDRESSLINE1,DAYSONMARKET,LASTSEENDATE,PROPERTYTYPE,SQUAREFOOTAGE
Austin,800,TX,Travis,78751,0,30.307493,1.0,-97.72467,48,453,2025-12-03,2025-10-01,Standard,4510 Duval St,46,2026-01-17,Apartment,480.0
Austin,1295,TX,Travis,78721,2,30.255674,1.0,-97.686104,48,453,2025-11-25,2024-04-26,Standard,5909 Bolm Rd,54,2026-01-17,Apartment,650.0
Austin,850,TX,Travis,78723,2,30.306246,1.0,-97.679115,48,453,2025-12-09,2026-01-10,Standard,2904 Sweeney Ln,40,2026-01-17,Multi-Family,1015.0
Austin,849,TX,Travis,78705,0,30.293248,1.0,-97.734099,48,453,2025-11-10,2025-07-18,Standard,3101 Tom Green St,69,2026-01-17,Apartment,480.0
Austin,3010,TX,Travis,78748,4,30.174898,2.0,-97.829994,48,453,2025-11-26,2025-11-27,Standard,2418 Allred Dr,53,2026-01-17,Apartment,1700.0
Austin,4500,TX,Travis,78731,3,30.340374,2.5,-97.758027,48,453,2025-11-24,2025-11-25,Standard,5706 Highland Hills Cir,55,2026-01-17,Single Family,2293.0
Austin,2100,TX,Travis,78726,2,30.413619,2.5,-97.854295,48,453,2025-12-01,2022-11-03,Standard,12001 Vista Parke Dr,48,2026-01-17,Condo,1482.0
Austin,2000,TX,Travis,78753,2,30.392865,2.0,-97.655582,48,453,2025-11-26,2022-07-28,Standard,12333 Yarmont Way,53,2026-01-17,Single Family,1240.0
Austin,1375,TX,Travis,78724,2,30.287613,2.0,-97.625397,48,453,2025-11-19,2025-11-20,Standard,8701 Decker Lake Rd,60,2026-01-17,Condo,1100.0
Austin,1350,TX,Travis,78704,2,30.229559,1.0,-97.746208,48,453,2025-12-03,2020-01-17,Standard,2713 Saint Edwards Cir,46,2026-01-17,Multi-Family,785.0
Austin,3550,TX,Travis,78727,3,30.42701,2.0,-97.698699,48,453,2025-11-19,2021-09-08,Standard,2604 North Shields Dr,60,2026-01-17,Single Family,1923.0
Austin,999,TX,Travis,78723,1,30.309719,1.0,-97.708248,48,453,2025-12-01,2025-12-02,Standard,1200 E 52nd St,48,2026-01-17,Condo,575.0
Austin,1200,TX,Travis,78705,1,30.28821,1.0,-97.749349,48,453,2025-12-01,2019-06-25,Standard,2207 Leon St,48,2026-01-17,Condo,550.0
Austin,2250,TX,Travis,78652,3,30.143192,2.5,-97.806816,48,453,2025-12-07,2024-09-01,Standard,11301 Hill Stable Ct,42,2026-01-17,Single Family,1767.0
Austin,2990,TX,Travis,78749,4,30.215401,2.5,-97.870166,48,453,2025-12-03,2019-05-04,Standard,5910 Blanco River Pass,46,2026-01-17,Single Family,2293.0
Austin,1200,TX,Travis,78705,1,30.297237,1.0,-97.742378,48,453,2025-11-25,2020-08-05,Standard,3000 Guadalupe St,54,2026-01-17,Condo,480.0
Austin,1100,TX,Travis,78705,1,30.293808,1.0,-97.740456,48,453,2025-12-02,2024-03-01,Standard,2808 Whitis Ave,47,2026-01-17,Condo,480.0
Austin,995,TX,Travis,78705,0,30.284243,1.0,-97.748482,48,453,2025-11-21,2024-11-21,Standard,1906 San Gabriel St,58,2026-01-17,Apartment,480.0
Austin,1850,TX,Travis,78731,2,30.351004,1.5,-97.760201,48,453,2025-12-02,2019-07-15,Standard,6009 Shadow Valley Cv,47,2026-01-17,Multi-Family,2293.0
Austin,1600,TX,Travis,78730,2,30.357394,1.0,-97.796148,48,453,2025-12-03,2019-03-17,Standard,6000 Shepherd Mountain Cv,46,2026-01-17,Condo,480.0
Austin,4500,TX,Travis,78751,3,30.311787,2.0,-97.720039,48,453,2025-11-20,2025-11-21,Standard,512 E 49th St,59,2026-01-17,Single Family,2293.0
